estudios,trabajo_gov,estado_civil_Never-married,estado_civil_married,posicion_familiar_No-en-familia,posicion_familiar_spouse,sexo_Mujer,pais_origen,trabajo_1,edad,ganancias_inversiones,horas_trabajo_semana,salario
4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25238405330148117,0.14561435002386242,0.05,3.140274556493897,0.0,0.0
4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.4827151486353693,0.6,-0.3184317054925986,-5.4,0.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25238405330148117,0.07805090626291764,0.0,-0.3184317054925986,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25238405330148117,0.07805090626291764,0.75,-0.3184317054925986,0.0,0.0
4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2389122204894431,0.43860606057810464,-0.5,-0.3184317054925986,0.0,0.0
6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2523308809302059,0.477830132304429,-0.05,-0.3184317054925986,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.14135978444073602,0.043602793421337036,0.55,-0.3184317054925986,-4.8,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25238405330148117,0.4752394911753646,0.7,-0.3184317054925986,1.0,1.0
6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.2524409125782461,0.44623147406256025,-0.35,3.140515975394285,2.0,1.0
4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.4827151486353693,0.2,3.140450688531134,0.0,1.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2523308809302059,0.477830132304429,-0.05,-0.3184317054925986,8.0,1.0
4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3596343016212695,0.44573423536314816,-0.4,-0.3184317054925986,0.0,1.0
4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.253103282392688,0.14054896084624605,-0.75,-0.3184317054925986,-2.0,0.0
3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2524409125782461,0.2694237204190783,-0.3,-0.3184317054925986,2.0,0.0
3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.24801623814975915,0.22893848831278824,0.1,-0.3184317054925986,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05164220877965927,0.20795435016894642,-0.2,-0.3184317054925986,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2524409125782461,0.11766640967151648,-0.65,-0.3184317054925986,-1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25238405330148117,0.1317302170229937,-0.3,-0.3184317054925986,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25238405330148117,0.276948575190357,0.0,-0.3184317054925986,2.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.253103282392688,0.46136378018444163,0.25,-0.3184317054925986,1.0,1.0
7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.44573423536314816,0.1,-0.3184317054925986,4.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2524409125782461,0.043602793421337036,0.8,-0.3184317054925986,-4.0,0.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.12016981187706592,-0.15,-0.3184317054925986,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.20795435016894642,0.25,-0.3184317054925986,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.253103282392688,0.3140559455268139,1.05,-0.3184317054925986,0.0,0.0
4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.3143441167092931,0.9,-0.3184317054925986,0.0,1.0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2523308809302059,0.2363994399030929,-0.95,-0.3184317054925986,0.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.20060452603940107,0.11985397288260906,0.8,-0.3184317054925986,4.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.253103282392688,0.46136378018444163,0.05,-0.3184317054925986,8.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.2306425020394836,0.55,-0.3184317054925986,0.0,0.0
3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2524409125782461,0.31622778393234546,-0.75,-0.3184317054925986,2.4,0.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.253103282392688,0.2694350136119605,-0.9,-0.3184317054925986,0.8,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253103282392688,0.46136378018444163,0.35,-0.3184317054925986,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.25238405330148117,0.14561435002386242,-0.4,-0.3184317054925986,0.0,0.0
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.253103282392688,0.04757416289302714,-0.8,-0.3184317054925986,-5.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13426252706008884,0.13508010102003182,0.5,-0.3184317054925986,0.0,0.0
2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25238405330148117,0.1317302170229937,-0.85,-0.3184317054925986,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.25291942652550936,0.1444024411877658,-0.95,-0.3184317054925986,-3.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.24615391230775618,0.2785780651405128,-0.35,-0.3184317054925986,-0.4,1.0
3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25238405330148117,0.43860606057810464,0.5,-0.3184317054925986,0.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.12681954946323534,-0.35,-0.3184317054925986,0.6,0.0
4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.44623147406256025,0.75,-0.3184317054925986,0.0,0.0
4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.253103282392688,0.3140559455268139,-0.7,-0.3184317054925986,2.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2524409125782461,0.14288577280125545,0.55,-0.3184317054925986,0.0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2524409125782461,0.07278442114825166,-0.65,-0.3184317054925986,-1.0,0.0
4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2523308809302059,0.44675630364361263,0.95,-0.3184317054925986,0.0,1.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2523308809302059,0.13508010102003182,0.75,-0.3184317054925986,-0.4,0.0
6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25291942652550936,0.47715311411012995,0.3,-0.3184317054925986,0.0,0.0
3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.253103282392688,0.23866460186364394,0.15,-0.3184317054925986,0.0,0.0
3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.253103282392688,0.45344219268228825,-0.45,-0.3184317054925986,0.6,0.0
2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2524409125782461,0.4827151486353693,-0.65,-0.3184317054925986,0.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2311784227522996,0.043602793421337036,-1.0,-0.3184317054925986,-2.0,0.0
5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.43860606057810464,0.45,-0.3184317054925986,4.0,1.0
4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.2523308809302059,0.477830132304429,0.6,-0.3184317054925986,3.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2523308809302059,0.477830132304429,0.45,-0.3184317054925986,4.0,0.0
2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2523308809302059,0.30617765649415146,0.25,-0.3184317054925986,0.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.052034980141554395,0.13508010102003182,0.4,-0.3184317054925986,0.0,0.0
3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.12301338195167426,0.04674752755157676,-0.15,-0.3184317054925986,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.253103282392688,0.14054896084624605,0.15,-0.3184317054925986,1.6,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2524409125782461,0.13665226786881932,-0.4,3.1404469389891063,0.0,0.0
4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.253103282392688,0.2694350136119605,-0.4,3.1403061617963792,0.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2431153845196601,0.11442545099789944,-0.3,-0.3184317054925986,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.20711193221753432,0.5,-0.3184317054925986,0.0,0.0
7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25291942652550936,0.44573423536314816,0.2,-0.3184317054925986,1.0,1.0
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.253103282392688,0.3140559455268139,-0.45,-0.3184317054925986,3.6,0.0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25238405330148117,0.22893848831278824,-0.1,-0.3184317054925986,0.0,0.0
