version,split,train_participants,frames,facial_affected,facial_total,facial_pct,facial_min_std,facial_max_std,facial_raw_stds,audio_affected,audio_total,audio_pct,audio_min_std,audio_max_std,audio_affected_indices,audio_affected_stds
Version 1,official_train_all,107,2838753,0,3,0.0,61.47441370732497,70.10712427958184,"[67.2516193168463, 61.47441370732497, 70.10712427958184]",5,74,6.756756756756757,0.0,53.10720663008814,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Version 2,active_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Version 3,active_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Version 4,active_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Version 5,active_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
Version 6,active_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CV diagnostic,cv_fold_0_train,85,2178113,0,3,0.0,59.882179438121454,67.24524425535903,"[66.16992496735692, 59.882179438121454, 67.24524425535903]",5,74,6.756756756756757,0.0,51.576323925511346,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CV diagnostic,cv_fold_1_train,86,2289383,0,3,0.0,59.64297176356083,68.99251426898513,"[68.02644411825375, 59.64297176356083, 68.99251426898513]",5,74,6.756756756756757,0.0,52.07813112410745,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CV diagnostic,cv_fold_2_train,86,2317175,0,3,0.0,62.36412413228486,71.26042014013659,"[68.44170762206657, 62.36412413228486, 71.26042014013659]",5,74,6.756756756756757,0.0,53.95586519705568,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CV diagnostic,cv_fold_3_train,85,2270553,0,3,0.0,62.96893574167186,71.57371721085923,"[63.493198251353306, 62.96893574167186, 71.57371721085923]",5,74,6.756756756756757,0.0,53.92743000884195,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
CV diagnostic,cv_fold_4_train,86,2299788,0,3,0.0,62.09380951410353,70.86124699516945,"[69.78871690691108, 62.09380951410353, 70.86124699516945]",5,74,6.756756756756757,0.0,53.78865864433303,"[10, 36, 37, 38, 39]","[0.0, 0.0, 0.0, 0.0, 0.0]"
